4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Morgenlatte	 morning wood
Morgenmuffel	 someone who is in a bad mood in the morning and does not like to wake up early, a morning grouch, not a morning type of person.
Morgenrock	 banyan
Morgenrots	 Genitive of Morgenrot
Morgenröte	 dawn, aurora
Morgenstern	 morning star (weapon)
Morgenstund hat Gold im Mund	 the early bird gets the worm (literally, "morning-hours have gold in the mouth")
Morphem	 morpheme
Morphin	 morphine
Morphologie	 morphology (a scientific study of form and structure)
Mortalität	 mortality
Mosaik	 mosaic (artwork)
Mosambikaner	 Mozambican (male person from Mozambique or of Mozambican descent)
Mosambikanerin	 Mozambican (female person from Mozambique or of Mozambican descent)
Moschuskraut	 moschatel, plant of the genus Adoxa
Moskauer	 Muscovite
Moskito	 mosquito
Moskowit	 Muscovite
Moskowiter	 Muscovite
Most	 must
Motel	 motel
Motiv	 motive
Motivation	 motivation (willingness of action especially in behavior)
Motor	 engine (mechanical device)
Motorblock	 engine block
Motorboot	 motorboat
Motorrad	 motorcycle
Motorradfahrer	 motorcyclist: someone who rides a motorcycle
Motorradfahrerin	 female motorcyclist ("Motorradfahrer")
Motorroller	 scooter (motor-scooter)
Motorsäge	 chainsaw
Motte	 moth
Mottenkugel	 mothball
Mottenschildlaus	 whitefly
Motto	 motto
Mozarabisch	 Mozarabic (the Mozarabic language)
Mozartkugel	 Mozart ball, a type of confectionery originally from Salzburg, Austria. A ball of green pistachio marzipan covered in a layer of nougat and dunked in a dark chocolate coating
Mozzarella	 mozzarella
Mrd.	 Abbreviation of Milliarde or Milliarden
Mudder	 a player in a MUD
Muffel	 muffle (all senses)
Muffel	 mouflon
Muffin	 muffin (individual cake)
Mufflon	 mouflon (Ovis orientalis orientalis)
Mufflon	 European mouflon (Ovis orientalis musimon)
Mulch	 mulch
Mull	 mole (mole rat)
Multikulti	 multiculturalism
Multikulturalismus	 multiculturalism
Multimedia	 multimedia
Multimillionär	 multimillionaire
Multiplikation	 multiplication (process)
Multiversum	 multiverse (hypothetical group of all possible universes)
Mumie	 mummy (embalmed corpse)
Mumifikation	 mummification
Mumm	 moxie, guts, grit, balls, nerve
Mumpitz	 tripe (something valueless)
Mumps	mumps
Mund	 mouth
Mundart	 dialect, idiom, patois, vernacular
Mundgeruch	 halitosis (condition of having foul-smelling breath)
Mundpropaganda	 word of mouth
Mundwasser	 mouthwash
Mungbohne	 mung bean, ''Vigna radiata''
Munition	 ammunition, munition
Murmel	 marble
Murmeln	 murmur
Murmeln	 mutter
Murmeltier	 marmot
Murren	 murmur
Murren	 mutter
Muräne	 moray (eels of the family Muraenidae)
Mus	 mush, squish
Muschel	 mussel, shell, clam
Muse	 A Muse (deity).
Museum	 museum
Museum	 art gallery
Museumsstück	 museum object
Musical	 a musical
Musikantenwagen	 bandwagon
Musikautomat	 jukebox
Musikbox	 jukebox
Musiker	 musician
Musikinstrument	 musical instrument
Musiktheorie	 music theory (field of study dealing with how music works)
Muskarin	 muscarine
Muskat	 nutmeg
Muskatnuss	 nutmeg
Muskatnuß	 nutmeg
Muskel	 muscle
Muskelfaser	 myocyte, muscle fibre
Muskelkater	 delayed-onset muscle soreness, DOMS
Muskelkrampf	 muscle cramp / spasm
Muskelspannung	 muscle tension
Muskelzelle	 myocyte
Musketier	 musketeer
Muskulatur	 musculature
Muslima	 Muslim (female believer)
Muslimin	 Muslim (believer)
Muster	 example
Muster	 pattern
Mut	 courage, bravery
Mut	 mood
Mutant	 mutant
Mutter	 mother
Muttermilch	 breast milk, mother's milk
Mutterschaftsurlaub	 maternity leave (leave of absence)
Mutterschiff	mothership
Muttersprache	 mother tongue
Muttersprachler	 native speaker (a person who grew up with a particular language as their mother tongue)
Muttersöhnchen	 momma's boy
Muttertag	 Mother's Day
Mutti	 mummy (childs term for ''mother'')
Muße	 leisure
MwSt.	 Mehrwertsteuer
My	 mu (greek letter)
Mykologie	 mycology (study of fungi)
Myokardinfarkt	 myocardial infarction (necrosis of heart muscle), heart attack
Myonium	 muonium
Myriade	 myriad (ten thousand)
Myrrhe	 myrrh
Mystizismus	 mysticism
Mythologe	 mythologist (someone who studies mythology)
Mythologie	 mythology
Mythos	 myth, mythos (a story relevant to a particular culture or some other group)
Myzel	 mycelium
Mädchen	 girl
Mädchen	 maiden
Mädchenname	 maiden name
Mäher	 mower (A machine for cutting grass or other plants that grow on the ground.)
Mäher	 reaper (A machine used to harvest crops.)
Mähne	 mane
Mähnenhirsch	 rusa deer or Sunda sambar, ''Cervus timorensis''
Mähnenhund	 maned wolf
Mähnenrobbe	 South American sea lion
Mähnenwolf	 maned wolf
Männchen	 A small man, diminutive of the word ''Mann''.
Männchen	 A male (animal, plant), a cock (bird). (compare Weibchen for a female (animal, plant), a hen (bird))
Männchen	 A trick dogs or other quadrupeds do, consisting of resting on their hind legs with an upright body.
Männerfuß	 man's foot
Männlichkeit	 manliness, manhood, masculinity
Märchen	 fable, fairy tale
Märtyrer	 martyr
Märtyrerin	 (female) martyr
Märzenbecher	 snowflake (flower): ''Leucojum vernum''
Mäuschen	 honey, sweetie, pumpkin
Mäuschen	 the funny bone
Mäuse	 (slang) money
Mäusespeck	 marshmallow (confectionery)
Möbel	 furniture
Möbel	 piece of furniture
Möbelstück	 piece of furniture (an item that belongs to the furniture of a room)
Möchtegern	 a wannabe
Möglichkeit	 possibility
Möglichkeit	 option, choice
Möhre	 carrot
Mönch	 monk
Mönche	 monks
Mönchsgeier	 Eurasian black vulture
Mörder	 murderer
Mörderin	 murderess (woman who commits murder)
Mörser	 mortar (weapon)
Mörser	 mortar and pestle (tool)
Mörsergranate	 a mortar shell
Möse	 cunt (genitalia)
Möwe	 gull, seagull
Mücke	 mosquito
Müdigkeit	 tiredness
Mühe	 effort, difficulty
Mühlenspindel	 mill-spindle
Mühlstein	 millstone
Müll	 trash, garbage, refuse, waste
Müllbeutel	 garbage bag
Mülleimer	 garbage can
Mülleimer	 trash can
Müller	 miller
Müllerin	 female miller
Mülltonne	 wheelie bin
Müllwagen	 garbage truck (waste collection vehicle)
Münchenerin	 A citizen of Munich
Münchner	 A citizen of Munich
Münster	 minster (church)
Münzmetall	 coinage metal
Münzprägeanstalt	 mint
Münzprägung	 coinage
Müsli	 muesli, granola
Mütterlichkeit	 motherliness
Müttern	 ''Dative plural of'' '''Mutter'''.
Mütze	 cap
Müßiggang	 idleness
NK	 Abbreviation of Nebenkosten
NN	 Normalnull
NRO	 Nichtregierungsorganisation
NRW	 Nordrhein-Westfalen
Nabe	 hub
Nabelschau	 navel-gazing
Nabelschnur	 umbilical cord
Nachahmer	 copy-cat, imitator
Nachbar	 neighbour
Nachbarin	 female neighbor
Nachbarschaft	 neighbourhood
Nachbearbeitung	 postprocessing
Nachbeben	 aftershock
Nachdruck	 emphasis (special weight or forcefulness given to something considered important)
Nachdruck	 reprint
Nachen	 barque
Nachfolger	 successor
Nachforderung	 supplementary claim
Nachfrage	 request, inquiry
Nachgeburt	 afterbirth
Nachgebühr	 postage due
Nachgeschmack	 aftertaste
Nachhaltigkeit	 sustainability
Nachhut	 rear (the part of an army or fleet which comes last); (by extension) anyone who comes last
Nachkomme	 offspring, descendant
Nachmittag	 afternoon
Nachnahme	 COD, collect on delivery
Nachname	 surname
Nachricht	 message (''communications'': Information which is sent from a source to a receiver)
Nachricht	 notification
Nachricht	 news (only in plural)
Nachrichten	 news
Nachrichtenagentur	 news agency (organisation that gathers and distributes news)
Nachrichtendienst	 intelligence agency (a department, agency or unit designed to gather such information)
Nachrichtensprecher	 a newscaster
Nachrichtensprecherin	 a female newscaster
Nachruf	 obituary
Nachschlagewerk	 reference work
Nachsicht	 forgiveness, clemency
Nachspeise	 dessert
Nacht	 night
Nacht	 darkness
Nachtblindheit	 night blindness
Nachtdienst	 night service
Nachteil	disadvantage, demerit
Nachteil	drawback
Nachtessen	 supper (food before going to bed)
Nachteule	 night person
Nachtfalter	 moth (insect similar to a butterfly)
Nachthemd	 nightie (sleeping garment worn by women)
Nachtigall	 nightingale
Nachtisch	 dessert
Nachtkerze	 evening primrose, any plant of the genus ''Oenothera''
Nachtklub	 nightclub
Nachtlampe	 nightlight
Nachtleben	 nightlife
Nachtmensch	 night person
Nachtpfauenauge	 a butterfly of the Saturnia genus
Nachtrag	 addendum (something to be added)
Nachtruhe	 sleep ((countable) act or instance of sleeping)
Nachtschicht	night shift
Nachtsichtgerät	 nightscope (night vision device)
Nachtspeicherheizung	 storage heater
Nachttisch	 nightstand (bedside table)
Nachttopf	 chamber pot (a bowl kept in a bedroom to serve as a temporary toilet)
Nachtwächter	 night watchman (a guard that protected cities (in the middle ages))
Nachvollziehbarkeit	 traceability
Nachweis	 proof, verification, confirmation
Nachweisgrenze	 detection limit
Nachwelt	 posterity (all the future generations)
Nachwort	 afterword
Nachwuchs	 offspring
Nachäffung	 aping, mimicry
Nacktheit	 nudity (nudity)
Nacktnasenwombat	 common wombat,  coarse-haired wombat, Vombatus ursinus (-> wombat)
Nacktschnecke	 A slug (mollusk).
Nacktschnecke	 A nudibranch.
Nacktschwanzgürteltier	 naked-tailed armadillo, an armadillo of the ''Cabassous'' genus
Nadel	 needle
Nadelkissen	 pincushion
Nadellager	 needle bearing
Nadelöhr	 eye (hole in needle)
Nagel	 A nail, a man-made pointed fastener used for joining different materials by penetrating them.
Nagelbombe	 nail bomb
Nageleisen	 nail puller
Nagelfeile	 nail file
Nagellack	 nail polish
Nagellackentferner	 nail polish remover
Nagelschere	 nail scissors
Nager	 rodent
Nagetier	 rodent
Nahaufnahme	 close-up
Nahrung	 food
Nahrungsergänzungsmittel	 dietary supplement
Nahrungskette	 food chain
Nahrungsmittel	 food, foodstuff
Nahrungspflanze	 food plant, food crop
Nahrungszusammensetzung	 food / diet composition
Naht	 suture (seam)
Nahtod-Erfahrung	 near-death experience
Naivität	 naivety
Naktivismus	 a German nudist movement, which preaches and practices activities in the nude, such as naked hiking and biking, as well as skinny-dipping
Naktivist	 practicioner of Naktivismus, active nudism
Name	 name (forename, Christian name, given name)
Name	 name (surname, family name)
Name	 name (full name)
Namenkunde	 onomastics
Namensgeber	 eponym
Namensgebung	 naming (name giving)
Namenstag	 name day
Namensvorschlag	 proposed name
Namhaftmachung	 making known
Namhaftmachung	 naming, designation
Namibier	 Namibian (a male person from Namibia or of Namibian descent)
Namibierin	 Namibian (a female person from Namibia or of Namibian descent)
Nandu	 nandu
Nanopartikel	 nanoparticle
Nanoröhrchen	 nanotube
Nanoröhre	 nanotube
Nanoschaum	 nanofoam
Nanosekunde	 nanosecond
Nanostäbchen	 nanorod
Nanotechnologie	nanotechnology
Napf	 bowl
Napfkuchen	 bundt cake
Nappaleder	 nappa leather, napa leather
Narbe	 scar
Narkolepsie	 narcolepsy
Narkoleptiker	 narcoleptic
Narr	 fool, clown, jester
Narren	 Genitive of Narr
Narrengold	 fool's gold; pyrite; a mineral from the class of sulfides with the chemical formula FeS<sub>2</sub>.
Narwal	 narwhal (artic cetacean)
Narzisse	 daffodil, narcissus
Narzissmus	 narcissism
Narzisst	 narcissist
Nasal	 nasal consonant
Nase	 nose
Nase	 snout
Nase	 nase (The fish)
Nasenbein	 nasal bone
Nasenbär	 coati, a mammal of the Nasua genus
Nasenflöte	 nose flute
Nasenloch	 nostril (either of the two orifices located on the nose)
Nasenring	 nose ring
Nashorn	 rhinoceros
Nation	 nation
Nationalgericht	 national|National dish; a food characteristic of a certain country.
Nationalhymne	 national anthem
Nationalisierung	 nationalization
Nationalismus	 nationalism
Nationalist	 nationalist
Nationalistin	 a female nationalist
Nationalität	 nationality
Nationalpark	 national park
Nationalsozialismus	 National Socialism
Nationalsozialist	 National Socialist
Natrium	 sodium
Natriumamalgam	 sodium amalgam
Natriumdampf	 sodium vapour
Natriumdampflampe	 sodium vapour lamp
Natriumhydrogencarbonat	 sodium bicarbonate, NaHCO<sub>3</sub>
Natriumspiegel	 sodium level (in the blood or urine)
Natron	 bicarb (sodium bicarbonate)
Natronlauge	 caustic soda, soda lye
Natter	 grass-snake
Natterers Tropfenameisenwürger	 Natterer's slaty antshrike
Natur	 nature, disposition, constitution, essence
Natur	 temperament, temper, frame of mind
Natur	 natural scenery
Naturell	 disposition, nature, temperament
Naturkunde	 natural history
Naturphilosoph	 natural philosopher
Naturschutz	 (nature) conservation
Natursekt	 (euphemism/vulgar) urine (mainly used in urophilia|urophilic circles)
Naturstoff	 natural product
Naturtalent	 natural (someone with skills not achieved by learning and practice)
Naturvolk	 indigenous people
Naturwissenschaft	 natural science
Navigation	 navigation (theory and practice of charting a course for a ship, aircraft or spaceship)
Nazi	 a member or (ideological) supporter of the NSDAP or Nazism; a National Socialist
Nazismus	 Nazism
Naß	 moisture
Nb.-Whg.	 Abbreviation of Neubauwohnung
Nebel	 fog, mist, haze
Nebelhorn	 foghorn
Nebelkerze	 smoke grenade, smokescreen
Nebelparder	 clouded leopard
Nebelstreif	 wisp of fog
Nebelwerfer	 a World War II German series of mortar weapon|weapons
Nebenblatt	 stipule
Nebengruppe	 subgroup
Nebenkeule	 side lobe
Nebenkosten	 side costs, additional costs
Nebenläufigkeit	 concurrency
Nebenprodukt	 by-product
Nebenwirkung	 side effect
Necessaire	 wash bag
Necessaire	 manicure set
Neffe	 nephew
Negligee	 negligee
Neid	 envy
Neider	 one who shows envy
Neige	 slope, decline.
Neige	 dregs, sediment.
Neigung	 propensity
Neigung	 inclination
Neigung	 tilt, slant
Neigung	 affinity
Nein	 a no
Nekrophilie	 necrophilia
Nektar	 nectar
Nektarine	 nectarine (fruit)
Nelke	 carnation, pink (plant)
Nelke	 clove
Nelkenwurz	 avens
Nenner	 denominator (the number or expression written below the line in a fraction)
Nennung	 mention
Nennwert	 face value
Neodym	 neodymium
Neoliberalismus	 neoliberalism
Neolithikum	 Neolithic, New Stone Age
Neologismus	 neologism
Neon	 neon
Neonatologe	 neonatologist (male person who studies or applies neonatology)
Neonatologie	 neonatology (branch of medicine that deals with newborn infants)
Neonatologin	 neonatologist (female person who studies or applies neonatology)
Neonazi	 neo-Nazi
Neonlampe	 neon lamp
Neonlampe	 fluorescent lamp
Neophyt	 neophyte (recently introduced plant species)
Nepalesin	 Nepalese (female person)
Nephrologe	 nephrologist (physician)
Nephropathie	 nephropathy
Nepotismus	 nepotism
Neptunium	 neptunium
Nerd	 nerd (a person, often very studious, with poor social skills)
Nerv	 nerve
Nervengas	 nerve gas
Nervensystem	 nervous system
Nervenzelle	 neuron
Nervenzusammenbruch	 nervous breakdown
Nervosität	 nervousness
Nerz	 mink
Nessel	 nettle
Nest	 nest
Networking	 networking (meeting new people)
Netz	 net
Netze	 nets, networks
Netzneutralität	 network neutrality
Netzstrumpf	 mesh/fishnet stocking
Netzwerk	 network
Netzwerkkarte	 network interface card, NIC
Neuauflage	 reprint (book, pamphlet or other printed matter that has been published once before but is now being released again)
Neuauszählung	 recount (especially of votes)
Neubau	 new building
Neubauwohnung	 newly built apartment
Neubildung	 regeneration, restructuring
Neubildung	 neogenesis
Neudruck	 reprint (book, pamphlet or other printed matter that has been published once before but is now being released again)
Neuerung	 innovation
Neugeborene	 newborn
Neugriechisch	 Modern Greek (Modern Greek language)
Neuheit	 novelty
Neuhochdeutsch	 New High German (the New High German language)
Neuigkeiten	 news
Neujahr	 New Year
Neuling	 novice (beginner)
Neumond	 new moon
Neunorwegisch	 Nynorsk (one of the two written standards in Norway) 
Neuntöter	 red-backed shrike
Neuroleptikum	 antipsychotic, neuroleptic
Neurologie	 neurology (branch of medicine that deals with the nervous system and its disorders)
Neurose	 neurosis
Neurotiker	 neurotic person
Neurotransmitter	 neurotransmitter
Neuseeländer	 New Zealander (a male person from New Zealand or of New Zealand descent)
Neuseeländerin	 New Zealander (a female person from New Zealand or of New Zealand descent)
Neusilber	 nickel silver, German silver
Neusprech	 Newspeak (fictional language)
Neustart	 restart
Neutralisierung	 neutralization
Neutralität	 neutrality
Neutrino	 neutrino
Neutron	 neutron
Neutronenbombe	 neutron bomb
Neutronenquelle	 neutron source
Neuwahl	 new election, a revote
Neuzeit	 modern age
Newton	 newton (unit of measure)
Nicaraguaner	 Nicaraguan (male person from Nicaragua)
Nicaraguanerin	 Nicaraguan (female person from Nicaragua)
Nichtbeachtung	 oblivion
Nichtbeachtung	 disregard
Nichtbeachtung	 noncompliance, nonobservance
Nichte	 niece
Nichteisenmetall	 nonferrous metal
Nichtkonformität	 nonconformity
Nichtmuttersprachler	 non-native speaker
Nichtraucher	 non-smoker
Nichtregierungsorganisation	 non-governmental organization
Nichts	 nothingness, void
Nichtverfügbarkeit	 unavailability
Nickel	 nickel (a silvery elemental metal with an atomic number of 28 and symbol Ni).
Nickelbasislegierung	 nickel-based alloy
Nickellegierung	 nickel alloy
Niederlage	 defeat
Niederlassung	 settlement
Niederländerin	 Dutchwoman (a Dutch woman)
Niederländisch	 the Dutch language
Niederschlag	 fallout, condensation
Niemandsland	 no man's land
Niere	 kidney
Nierenfunktion	 renal function
Nierenstein	 nephrolith, kidney stone
Nierentransplantation	 kidney transplantation
Nieselregen	 drizzle
Niesen	 sneeze
Niet	 rivet.
Niete	 loser
Niete	 rivet
Nigerianer	 Nigerian, male person from Nigeria
Nigerianerin	 Nigerian, female person from Nigeria
Nihilismus	 nihilism
Nihilist	 nihilist (person)
Nilbarsch	 Nile perch, Lates niloticus (fish)
Nilpferd	 hippopotamus
Niob	 niobium
Nippel	 nipple
Nippelspanner	 spoke wrench
Nischenmarkt	 niche market
Nisse	 nit
Nitratsalz	 nitrate salt
Niveau	 level
Nixe	 mermaid (mythological woman with a fish's tail)
Nobelium	 nobelium
Nobelpreis	 Nobel Prize
Nobelpreisträger	 Nobel laureate
Noblesse	 nobility
Nockenwelle	 camshaft (a shaft fitted with cams)
Nomade	 nomad
Nomen agentis	 agent noun
Nomenklatur	 nomenclature
Nominalphrase	 noun phrase (phrase that can serve as the subject or the object of a verb)
Nominierung	 nomination
Nonagon	 nonagon
Nonillion	 A w:Long and short scales|long scale nonillion, 10<sup>54</sup>; a w:Long and short scales|short scale septendecillion.
Nonkonformismus	 nonconformism
Nonkonformist	 nonconformist
Nonkonformität	 nonconformity (rejection of or the failure to conform, especially to standards, rules, or laws)
Nonne	 nun
Nonne	 nun moth
Nonsens	 rubbish, nonsense <!-- ugs.? -->
Noosphäre	 noosphere
Nord	 north
Nordamerikanische Pfeifente	 a species of duck, American widgeon, Anas americana
Nordd.	 Norddeutschland &equiv; northern Germany
Norden	 north (direction)
Norden	 north (region)
Nordfriese	 North Frisian (man belonging to the North Frisian people)
Nordfriesin	 North Frisian (woman belonging to the North Frisian people)
Nordfriesisch	 North Frisian (the North Frisian language)
Nordhalbkugel	 northern hemisphere
Nordpol	 North Pole
Norm	 norm (rule that is enforced by members of a community)
Norm	 technical norm, such as DIN
Normalbürger	 average citizen
Normaldruck	 normal / standard pressure
Normalfall	 rule (normal case)
Normalnull	 The mean altitude of sea level. Geographical altitude dates are based on this level.
Normalspur	 A standard gauge, on which most German trains run, such as the national train, urban light rail, metro-systems and most tramways.
Normalteiler	 normal subgroup (subgroup that is invariant under conjugation)
Normaltemperatur	 normal temperature
Norweger	 Norwegian (native of Norway)
Norwegerin	 Norwegian (female native of Norway)
Nostalgie	 nostalgia (yearning for the past, homesickness)
Nostratisch	 Nostratic (the Nostratic language family)
Nostrifikation	 nostrification: process or act of granting recognition to a degree from a foreign university
Nostrifizierung	 nostrification: process or act of granting recognition to a degree from a foreign university
Not	 need, imminence
Not	 necessity, poverty
Not	 emergency, crisis
Notar	 notary public
Notarzt	 emergency physician
Notaufnahme	 emergency room
Notausgang	 emergency exit, fire escape
Notbeleuchtung	 emergency lighting
Notbremse	 emergency brake
Notbremsung	 emergency braking
Notebook	 notebook
Notenbank	 central bank
Notenwert	 note value
Notfall	 emergency, distress
Notiz	 note (memorandum)
Notiz	 memo
Notizbuch	 notebook (book)
Notlage	 emergency (situation requiring urgent assistance)
Notlandung	 emergency landing, forced landing
Notlüge	 emergency lie
Notruf	 emergency call 
Notstand	 emergency, state of emergency
Notwendigkeit	 necessity
Notzeit	 rainy day, time of need
Nougat	 nougat
Novelle	 novella (a short novel)
Novellist	 novelist
Novize	 novice
Nu	 Only used in im Nu
Nubuk	 nubuck
Nubukleder	 nubuck
Nucleotid	 nucleotide
Nudel	 pasta, noodle
Nudelholz	 rolling pin
Nudelteig	 pasta dough, noodle dough
Nudismus	 nudism
Nuklearenergie	 nuclear energy, nuclear power
Nuklearmedizin	 nuclear medicine (branch of the profession)
Nukleinsäure	 nucleic acid
Nukleosynthese	 nucleosynthesis
Null	 zero (numeric symbol of zero)
Nullpunkt	 zero point
Nullpunktenergie	 zero-point energy
Nulltoleranz	 zero tolerance
Numerologie	 numerology
Nummer	 ''ordinal'' number
Nummer	 stunt
Nummer	 shtick
Nummerierung	 numbering
Nuscheln	 mumble
Nuscheln	 mutter
Nuss	 nut
Nussknacker	 nutcracker
Nutrition	 nutrition
Nutte	 whore, prostitute
Nutzen	 use
Nutzer	 user
Nutzfläche	 usable area
Nutzfläche	 floor space
Nutznießer	 beneficiary
Nutztier	 livestock; domesticated animals in general
Nutztier	 farm animal|farm animals; domesticated animals that are mainly found on a farm
Nutzung	use
Ny	 nu (greek letter)
Nymphe	 nymph
Nymphomanie	 nymphomania
Nächstenliebe	 altruism
Nähe	 vicinity
Nähmaschine	 sewing machine
Nährstoff	 nutrient
Nährwert	 nutritional value
Nässe	 wetness
Nördlicher Schwarzameisenwürger	 black antshrike
Nörgler	 nagger
Nützlichkeit	 usefulness
OG	 Abbreviation of Obergeschoss
OSI-Schicht	 OSI layer
Oase	 oasis
Oasen	 oases
Obazda	 Obatzda, a Bavarian cheese delicacy
Obdach	 shelter
Obdachlose	 homeless person
Obdachlose	 (female) homeless person
Obduktion	 autopsy
Obelisk	 obelisk (a tall, square, tapered, stone monolith topped with a pyramidal point)
Ober	 waiter
Oberarm	 upper arm
Oberaufseherin	 A female supervisor.
Oberbegriff	 umbrella term, hypernym
Oberende	 the upper or topmost part, the head of anything
Oberfläche	 surface
Oberflächenbehandlung	 finish (surface treatment)
Oberflächenbeschichtung	 surface coating
Oberflächenschutz	 protective coating (surface protection)
Oberflächenwasser	 surface water
Oberführer	 paramilitary rank of the nazi SA and SS, corresponds to brigadier or senior colonel. Literally translates to "Senior Leader". Next in rank to Brigadeführer, rank below is Standartenführer
Obergeschoss	 upper floor
Oberhand	 upper hand. Only used in the phrase "''die Oberhand gewinnen''" (to gain the upper hand)
Oberhaupt	 chief, chieftain, captain, leader, ruler
Oberholz	 overstorey
Oberkellner	 head waiter
Oberkörper	 upper part of the body
Oberleitung	 catenary, overhead power line
Oberleutnant	 first lieutenant
Oberlippe	 upper lip
Oberlippenbart	 moustache
Obermenge	 superset (set containing all elements of another set)
Oberschenkel	 thigh (upper leg)
Oberschenkel	 femur, thighbone
Oberschenkelknochen	 femur, thighbone
Oberschicht	 upper class
Oberschule	 high school, secondary school
Obersorbisch	 Upper Sorbian (the Upper Sorbian language)
Oberst	 colonel
Obersturmbannführer	 military rank of the nazi SA and SS, corresponds with lieutenant colonel. Senior rank is Standartenführer, rank below is Sturmbannführer (major).
Obersturmführer	 a former military rank in the SS and SA in  Nazi Germany, equal to a "Oberleutnant" (first lieutenant) in the regular Wehrmacht
Obhut	 care, custody
Objekt	 object
Objektivismus	 objectivism
Objektsprache	 object language
Oblast	 oblast (administrative unit, typically in a Slavic country)
Obolus	 a small monetary donation
Obrigkeit	 authorities
Obsidian	 obsidian
Obst	 fruit
Obstbaum	 fruit tree
Obstfliege	 fruit fly (Drosophilidae)
Obszönität	 obscenity
Ochse	 ox
Ochsenziemer	 a pizzle (2)
Octan	 octane
Ode	 ode, poem of a certain type
Odermennig	 agrimony
Odyssee	 odyssey
Ofen	 oven
Ofen	 stove
Ofen	 furnace
Ofenrohr	 stovepipe
Offenbarung	 revelation
Offenlegung	 disclosure, discovery
Offensive	 offensive (posture of attacking or being able to attack)
Offensive	 attack, offensive
Offizier	 officer (military)
Oger	 ogre (brutish giant)
Ogive	 ogive
Ogonek	 ogonek (diacritical mark)
Ohm	 ohm
Ohnmacht	 faint, fainting
Ohnmacht	 powerlessness, helplessness
Ohr	 A highway interchange which is ear-shaped or ribbon-shaped.
Ohrenrobbe	 eared seal, walking seal
Ohrenschmalz	 earwax
Ohrenschützer	 earmuff
Ohrensessel	 wing chair
Ohrenstöpsel	 earplug
Ohrfeige	 A box on the ear, cuff on the ear
Ohrhörer	 earphone (sound device held near the ear)
Ohrläppchen	 ear lobe
Ohropax	 earplug
Ohrring	 earring
Ohrstöpsel	 earplug
Ohrwurm	 earwig, any insect of the order Dermaptera
Ohrwurm	 earworm, a tune that pops up in one's memory all of the time
Okapi	 okapi (mammal in tropical Africa)
Okarina	 ocarina (a musical instrument)
Okkultismus	 occultism
Oktasauerstoff	 octaoxygen
Oktett	 octet
Oktillion	 A w:Long and short scales|long scale octillion, 10<sup>48</sup>; a w:Long and short scales|short scale quindecillion.
Oktober	 October
Oktoberfest	 A big festival held in Germany each year, known for its excessive drinking of beer and eating bratwurst.
Okzident	 occident
Okzitanisch	 Occitan (Romance language)
Oldtimer	 vintage car
Oleander	 oleander
Olefin	 olefin
Oligarchie	 oligarchy
Oliv	 the colour olive
Oliv-Bastardschildkröte	 Olive Ridley, Pacific Ridley, Lepidochelys olivacea
Olivenkern	 olive pit, olive stone
Olivenöl	 olive oil
Olympiade	 olympiad, the period of 4 years between two Olympic Games
Omega	 omega (last letter of the greek alphabet)
Omelett	 omelette
Omikron	 omicron (greek letter)
Onanie	 masturbation
Onanist	 masturbator (someone who masturbates)
Onkel	 uncle
Onkologe	 oncologist (male person who specialises in oncology)
Onkologie	 oncology (branch of medicine)
Onkologin	 oncologist (female person who specialises in oncology)
Onomatopoese	 onomatopoeia
Onomatopöie	 onomatopoeia (word with this property)
Opa	 grandpa, grandfather
Opal	 opal
Operaismus	 operaism, workerism, an autonomous- Marxist doctrine and social movement originating in Italy 
Operationssaal	 operating theatre, operating room
Operationsverstärker	 operational amplifier, op-amp
Operator	 operator (mathematical operator)
Opfer	 victim
Opfer	 sacrifice
Opferanode	 sacrificial anode
Opiat	 opiate
Opossum	 opossum
Opportunismus	 opportunism
Opportunist	 opportunist
Opposition	 opposition (the position of a planet in relation to the sun in positional astronomy)
Oppositionelle	 female member of the/an opposition
Oppositionelle	 members of the/an opposition
Oppositionellen	 dative plural of Oppositionelle
Oppositioneller	 a member (especially male) of the/an opposition
Oppositionsforderung	 demand of the opposition (movement)
Oppositionskandidat	 opposition candidate
Optik	 optics (physics of light and vision)
Optiker	 optician
Optimierung	 optimization (the design and operation of a system or process to make it as good as possible in some defined sense)
Optimismus	 optimism
Optimist	 optimist
Optimum	 optimum
Optometrie	 optometry
Optometrist	 optometrist
Oralverkehr	 oral sex (stimulation of the genitals using the mouth)
Orang-Utan	 orangutan
Orangenbaum	 orange tree
Orangensaft	 orange juice
Oratorium	 oratorio
Oratorium	 oratory, small private chapel
Orbit	 orbit (path of one object around another object)
Orchester	 orchestra
Orchestergraben	 orchestra (the area in a theatre or concert hall where the musicians sit)
Orchidee	 orchid
Orden	 A decoration earned in the military or in sports; a medal, especially one awarded for merit or achievement.
Orden	 A religious order.
Ordinalzahl	 ordinal number, ordinal numeral
Ordinate	 ordinate (the value of a coordinate on the vertical (Y) axis)
Ordner	 folder
Ordnung	 arrangement, regulation
Ordnung	 classification, order, array
Ordnung	 tidiness, orderliness
Ordnung	 class, rank, succession, series
Ordnungsamt	 (municipal) public order office, municipial authority for code enforcement
Ordnungsliebe	 love of orderliness
Ordnungsnummer	 serial number
Oregano	 oregano
Organ	 an organ, a publication (newspaper, etc) of an organization
Organ	 an organ, a body or organization with a particular purpose or duty
