A positivo	 A positive (blood type)
excomungar	 To excommunicate
excomunhão	 excommunication
excretar	 To excrete
excretar	 To expel, expunge
excretar	 To defecate
excretor	 excretory
excreção	 excretion (act or substance)
excêntrico	 eccentric (deviating from the norm)
excêntrico	 eccentric
executador	 executioner
executar	 to carry out
executar	 To execute (to kill as punishment)
executar	 to play music
executivo	 executive
executivo	 ministerial
executivo	 executive
execução	 execution (all senses)
execução	 enforcement
exegese	 exegesis
exemplar	 exemplary
exemplo	 example
exequível	 executable
exequível	 practicable
exequível	 possible
exequível	 practical
exercer	 to instruct, to command
exercer	 to exercise
exercer	 to practise, to do
exercício	 exercise
exercício	 training
exibir	 To exhibit, display
exibir	 To expose
exibição	 exhibition, display (act)
exibição	 exhibit
exibição	 ostentation
exigente	 Needing immediate action; exigent.
exigibilidade	 enforceability
exigir	 To require, need
exigir	 To ask, demand
exiguidade	 exiguity
exiguidade	 shortage
exigência	 requirement, demand
exigência	 exigency
exigível	 required, needed
existir	 to exist (to be)
existência	 existence, being
existência	 life
exonerar	 To exonerate
exoneração	 exoneration
exorbitante	 exorbitant
exorbitância	 exorbitance
exotermicamente	 exothermically
exotérmico	 exothermic
expandir	 to expand.
expansão	 expansion (all senses)
expedidor	 dispatcher
expedidor	 shipper, sender
expedir	 To issue
expedir	 To despatch / dispatch
expedir	 To forward
expedir	 To expedite
expedição	 expedition (all senses)
expedição	 shipment
expelir	 To expel
expelir	 To dislodge
experimentar	 To experience
experimentar	 To experiment
experiência	 experience (event(s) of which one is cognizant)
expiação	 expiation, atonement
explanação	 explanation
explicar	 to explain
explicação	 explanation, explication
explicitamente	 explicitly
explodir	 to explode (blow up)
explodir	 to explode (act violently)
explorar	 To explore
explorar	 To exploit
explorar	 To discover
explorar	 To research
exploração	 exploration
explorável	 exploitable
explorável	 explorable
explosivamente	 explosively
explosivo	 explosive
explosivo	 explosive (material)
explosão	 explosion
explícito	 explicit
exportar	 To export
exportação	 export
exposição	 exposition
exposto	 exposed
exposto	 visible, manifest, patent
expressamente	 expressly
expressivamente	 expressively
expressivo	 Effectively conveying feeling or thought; expressive.
expresso	 express
expresso	 express (train)
expresso	 espresso (coffee)
expressão	 expression
expressão idiomática	 idiom (phrase that cannot be understood from its component words)
expropriar	 To expropriate
expropriação	 expropriation
expurgar	 To expurgate
expurgar	 To expunge
expurgação	 expurgation
expurgação	 purge
extensão	 tract (an area)
exteriorizar	 To externalize
exterminar	 to exterminate.
externamente	 externally, outside
externo	 outside|Outside of; external.
externo	 exterior
externo	 day student (not a boarder)
extinguir	 To extinguish, quench
extintivo	 extinction (attributive)
extirpar	 to extirpate; to uproot.
extorquir	 To extort
extracelular	 extracellular
extraditar	 to extradite
extradição	 extradition.
extrair	 to extract
extrair	 to take out
extrajudicialmente	 extrajudicialy
extraordinariamente	 extraordinarily
extraordinário	 extraordinary
extratar	 To extract
extraterrestre	 extraterrestrial; not of the Earth
extraterrestre	 extraterrestrial; alien
extraterritorialidade	 extraterritoriality
extrato	 extract (all senses)
extração	 extraction
extremamente	 To an extreme degree; extremely.
extremenho	 Extremaduran (of, or relating to Extremadura)
extremenho	 Extremaduran (person from Extremadura)
extremidade	 extremity
extremismo	 extremism
extremista	 extremist
extremista	 extremist
extremo	 extreme
extruído	 extruded
exuberante	 exuberant
exuberância	 exuberance
exultar	 to exult.
exumação	 exhumation
exército	 army
exíguo	 exiguous
exílio	  exile
exímio	 excellent, extraordinary
exógeno	 exogenous
exórdio	 exordium
exótico	 exotic
eólico	 aeolian
fabricado	 manufactured, fabricated
fabricar	 To manufacture
fabricar	 To fabricate
fabricação	 fabrication, manufacture
fabuloso	 fabulous, great, wonderful
faca	 knife
facada	 stab, stabbing (blow with a knife or similar)
fachada	 façade (of a building)
facilidade	 ease, facility, easiness
facilitar	 To facilitate
facilmente	 easily
facilíssimo	 most or very easy
factível	 feasible
faculdade	 faculty (all senses)
faculdade	 college, school
faculdade	 power, ability
facultar	 To facilitate
facão	 machete
facção	 faction (group of people)
fada	 fairy
fadiga	 fatigue, weariness
fadigar	 To tire (cause fatigue)
fagote	 bassoon (musical instrument in the woodwind family)
fagueiro	 mild, gentle
fagueiro	 affectionate
fagueiro	 pleasant
fagueiro	 pleasurable
fagócito	 phagocyte (cell of the immune system)
faiança	 faience (type of tin-glazed earthenware ceramic)
faisão	 pheasant
faixa	 band, strip
faixa	 belt, ribbon, strap, sash
faixa	 track (on a record)
faixa	 lane (on a road)
fala	 a speech, a discourse
fala	 accent (the way someone speaks)
fala	 a dialect or regional variant of a language
fala	 a line of dialogue in a screenplay or script
fala inglês	 do you speak English?
falacia	 fallacy
falado	 spoken
falante	 speaker
falante	 talking
falcata	 falcataEnglish|falcata (ancient Iberian sword)
falconete	 falconet
falcão	 falcon, hawk
falecer	 To die
falecimento	 death, demise
falhar	 to fail
falido	 bankrupt
falir	 To go bankrupt
falisco	 Faliscan.
falisco	 Faliscan.
falsamente	 In false context; not conforming to facts or reality; untruthfully; falsely.
falsidade	 falsehood, falsity
falso	 false; untrue; not factual; wrong
falso	 false; artificial; fake
falso	 that which deceives or lies
faltar	 To lack, miss
faltoso	 wrongful
falácia	 fallacy
falência	 bankruptcy (inability to pay creditors)
fama	 reputation
fama	 fame
familiarizar	 To familiarize
faminto	 hungry, famished
famoso	 famous
família	 family; nuclear family (a father, mother and their sons and daughters)
família	 family; bloodline; kin
família	 things which are classed together
família	 a Mafia family
faniquito	 tantrum (or similar minor nervous breakdown)
fantasma	 ghost (spirit appearing after death)
fantasmagórico	 spooky
fantoche	 puppet
fantástico	 fantastic
faraó	 pharaoh (supreme ruler of Ancient Egypt)
farda	 military uniform
fardo	 burden
fardo	 bale, truss, bundle, package, parcel
farejar	 to sniff
farejar	 to find out
farejar	 to sniff out
farelo	 an individual piece of crumb
faringe	 pharynx
farinha	 flour (ground cereal grains)
farmacologia	 pharmacology
farmacêutico	 pharmaceutical
farmacêutico	 pharmacist
farmácia	 pharmacy (a place where prescription drugs are dispensed)
faro	 sense of smell, especially that of an animal
faroeste	 western (a movie of western genre)
farofa	 bluster, bravado, swagger
farol	 lighthouse (building containing a light to warn or guide ships)
farol	 automobile light
fartar	 To satiate
farto	 abundant
farto	 stuffed
farto	 fed up
faríngeo	 pharyngeal
fascinante	 fascinating
fascinação	 fascination
fascismo	 fascism (extreme totalitarian political regime)
fascículo	 instalment
fascículo	 fascicle
fascículo	 bundle
fase	 phase
fase	 stage
fase	 period
fatal	 terrible, very bad
fatalidade	 fatality
fatalidade	 fate, fatefulness
fatia	 slice (thin, broad piece cut off)
fatigar	 To weary, tire, fatigue
fato	 clothing, garment.
fato	 herd or group of goats.
fato	 intestines of animal or livestock.
fator	 factor; doer; maker
fator	 factor; influence
fatura	 invoice, bill
fatura	 manufacture
fatídico	 fateful
fatídico	 fatal, tragic
fauno	 faun.
favo	 honeycomb (bee's)
favoravelmente	 In context of being convenient; favorably; conveniently.
favorecer	 To favor / favour
favorecer	 To protect, support
favorecido	 favoured
favorável	 favorable
fazenda	 farm (a place where agricultural activities take place.)
fazenda	 a cloth
fazendeiro	 landowner
fazendeiro	 farmer
fazer amor	 to make love, to have sex
fazer rodeios	 to beat around the bush (to treat a topic but omit its main points)
fazer a cama	 To make the bed.
façanha	 feat, achievement
façanha	 prowess
faísca	 spark
fealdade	 ugliness
febre	 fever (higher than normal body temperature)
fechadas	 Feminine plural form of fechado.
fechadura	 lock (of a door)
fechar	 to close
fecho	 closure        
fecho	 zip, zipper
fecho	 latch
fecho	 clasp.
fecundidade	 fecundity, fertility
feder	 to stink (have a strong bad smell)
federativo	 federative
federação	 federation
fedido	 Of bad smell; stinky; smelly.
fedor	 stench (a strong foul smell, a stink)
fedorento	 Of bad smell; stinky; smelly.
feieza	 ugliness
feijão	 bean (seed)
feijão-com-arroz	 ordinary, everyday, common, mundane
feijão-com-arroz	 simple, basic
feio	 an ugly person
feio	 ugly
feira	 market
feira	 fair
feiticeiro	 sorcerer, wizard
feitio	 form, shape
feitio	 character, temperament
feitiço	 feigned, false
feitiço	 witchcraft, sorcery
feitiço	 amulet, charm
feitiço	 incantation
feito	 done, made, produced, created
feito	 feat, deed, accomplishment
feixe	 bundle
feixe	 sheaf
feixe	 faggot (bundle of wood)
feixe	 portion
feição	 figure, form, aspect
feiúra	 quality of being ugly; ugliness
felação	 fellatio
felicidade	 happiness
felicitações	 congratulation words
felino	 feline
felino	 feline
feliz	 happy
feliz aniversário	 happy birthday (good wishes for birthday)
felizes	 plural form of feliz
felizmente	 In context of being happy; happily.
felonia	 felony
felídeo	 felid
fementido	 artful
fementido	 treacherous
feminilidade	 femininity
feminismo	 feminism (the social theory or political movement)
fenda	 slit, crack, cleft
fender	 To split, cleave, rip
fender	 To crack
fender	 To separate
feno	 hay
fenomenologia	 phenomenology (philosphy based on intuitive experience of phenomena)
fenício	 Phoenician (language)
fenício	 Phoenician (person from Phoenicia)
fenício	 Phoenician
fenómeno	 phenomenon (observable fact or occurrence)
fera	 beast (non-human animal)
fereza	 ferocity, fierceness
fereza	 cruelty, barbarity, inhumanity
feriado	 holiday
ferida	 wound; injury
ferimento	 injury, hurt, harm
ferimento	 blow (from a weapon)
ferimento	 wound
ferir	 To hurt, injure
fermentado	 fermented
fermentar	 To ferment
fermentação	 fermentation
fermentação	 ferment
fermento	 yeast (fungus)
ferozmente	 ferociously
ferradura	 horseshoe
ferramenta	 tool (mechanical device intended to make a task easier)
ferreiro	 blacksmith (iron forger)
ferrenho	 staunch, steely, uncompromising
ferro	 sword; blade, spearhead
ferro fundido	 cast iron (hard, brittle alloy of iron, carbon, silicon)
ferro gusa	 pig iron
ferronióbio	 ferroniobium
ferrovanádio	 ferrovanadium
ferrovia	 railway (track, consisting of parallel rails)
ferroviário	 railway; rail (attributively)
ferrugem	 rust (result of oxidation)
ferrugento	 rusty
fertilidade	 fertility
fertilizar	 fertilize 
fertilização	 fertilization 
festa	 party
festa	 celebration
festejar	 To celebrate (all senses)
festejo	 celebration
festinha	 Diminutive of festa.
fetiche	 fetish (magical object)
feudal	 (euphemism) violent
feudo	 fief, fiefdom, manor
fevereiro	 February
fi	 phi (name of the Greek letter Φ)
fiador	 guarantor
fiador	 surety
fiador	 sponsor
fiador	 guarantee
fiapo	 slender thread
fiar	 to spin (thread)
fiar	 to trust
fiação	 spinning (thread)
fibroso	 fibrous
fibroso	 stringy (''of meat'')
ficar enfiado	 stick (to remain close by)
ficcionismo	 fiction (literary type).
ficha	 record
fictício	 fictitious
ficção	 fiction
ficção científica	 science fiction
fidalgo	 nobleman
fideicomissário	 trustee
fidelidade	 fidelity
fidelidade	 faithfulness
fidelidade	 allegiance
fiel	 true
figo	 fig (fruit)
figueira	 fig tree
figura de linguagem	 figure of speech|Figure of speech.
filantrópico	 philanthropic
fileira	 file, row, line
filha	 daughter
filiar	 To adopt
filiar	 To join (a group)
filiação	 adoption
filiação	 filiation
filigrana	 filigree
filigrana	 watermark
filisteu	 philistine
filisteu	 Philistine
filmagem	 filming, shooting
filmar	 to film
filme	 film (motion picture)
filme	 film (thin layer)
filologia	 philology
filologicamente	 philologically
filológico	 philological
filosofia	 philosophy (academic discipline)
filosófico	 philosophical
filoxera	 phylloxera
filtração	 filtration
filtração	 percolation
filão	 vein, lode, streak
filólogo	 philologist
fim	 end
fim de semana	 weekend (break in the working week)
finado	 late, deceased, dead
final	 An end
finalidade	 goal, objective
finalista	 finalist
finalmente	 After a long time; eventually; at last.
finalmente	 At the conclusion; lastly; finally; in the end.
financeiro	 financial
fincar	 to stick in
finge	 ''third-person singular indicative present of fingir''
finito	 finite; limited
finito	 finished; over
finlandês	 Finnish (language)
finlandês	 Finnish (person from Finland)
finlandês	 Finnish (pertaining to Finland or its people)
finíssimo	 superfine
fio	 chain
fio	 thread
fio	 string
fio	 wire
firma	 company.
firmamente	 firmly, tightly
firmamente	 resolutely
firmar	 To sign
firme	 firm
firmeza	 firmness
fiscalizar	 to inspect
fisiológico	 physiological
fisionomia	 physiognomy
fisionomia	 face, semblance
fisionômico	 physiognomic / physiognomical
fisiopatológico	 physiopathological
fissionar	 To fission
fissionável	 fissionable
fissurar	 To fissure
fixador	 fixative
fixador	 fixative
fixador	 fixer
fixador	 holder, retainer
fixamente	 fixedly
fixar	 To fix, fasten, secure
fixação	 fixation (all senses)
fixe	 cool!, great!
fixo	 fixed, immoveable
fixo	 permanent
flanco	 flank
flanela	 flannel
flatulência	 flatulence (state of having gas in digestive system)
flautista	 flautist
flecha	 arrow (projectile)
flecha	 arrow (symbol)
flecha	 spire
flecheira	 See ''seteira''.
fleuma	 phlegm (historical: humour)
flexibilidade	 flexibility
flexível	 flexible (all senses)
flexível	 supple, pliable
flexível	 pliant
floco	 flake
floco	 nap
floculação	 flocculation
flor	 flower
floração	 flowering
floração	 inflorescence
floração	 blossom, bloom
florescer	 to flower; to blossom (to put forth blooms)
florescer	 to adorn with flowers
florescer	 to flourish; to prosper
florescer	 to springVerb|spring (to start to exist)
florescimento	 flowering
floresta	 forest (dense collection of trees)
florir	 to flower; to blossom (to put forth blooms)
florir	 to adorn with flowers
florista	 florist
florão	 crocket (floral decoration)
flotação	 flotation
fluente	 fluent
fluente	 flowing
fluir	 To flow, run
fluir	 To pour
fluminense	 An inhabitant of the state of Rio de Janeiro, Brazil
fluorante	 fluorinating
fluorar	 To fluorinate
fluoração	 fluorination
fluoretar	 To fluoridate
fluoretação	 fluoridation
flutuador	 float
flutuador	 buoy
flutuante	 floating, afloat
flutuante	 buoyant
flutuante	 supernatant
flutuar	 To float
flutuar	 To fluctuate
flutuação	 fluctuation
flutuável	 Able to float; floatable.
fluxo	 flow
flúor	 fluorine
fobia	 phobia.
fobofobia	 phobophobia.
focinho	 snout
foco	 focus (concentration of attention)
foco	 objective; intent
foco	 headquarters
fofo	 spongy
fofo	 cute
fogo	 fire
fogueira	 blaze
fogueira	 bonfire
foguete	 rocket (non-guided missile)
foguete	 firework
fogão	 fire (heater or stove)
foice	 sickle
folclore	 folklore
folga	 rest (from work)
folga	 respite
folha	sheet (''of paper'').
folhas	 plural of folha.
folhear	 To browse, leaf through, peruse
folhear	 To veneer
folhetim	 The bottom half of a newspaper page, containing other than news
folhetim	 episode of a serialised novel
folhinha	 leaflet
folhinha	 page / sheet of a calendar
fome	 hunger
fome	 famine
fonação	 phonation
fone	 phone (all senses)
fone	 headset
fone	 (''in plural'') headphones
fonográfico	 phonographic
fonte	 spring (water source)
fonte	 fountain
fonte	 source (that from which something comes or is acquired)
forasteiro	 foreign
forasteiro	 foreigner
forasteiro	 stranger
forca	 gallows (wooden framework on which persons are put to death by hanging)
forma	 form
forma	 cake tin
forma	 mould
formalidade	 formality (quality of being formal)
formalístico	 formalistic
formar	 to form
formatação	 formatting
formação	 formation
formação	 organization
formação	 development
formidável	 fantastic; great; amazing
formiga	 ant
formiga-correição	 army ant
formoso	 beautiful
formular	 To formulate
formular	 To say, enunciate
formular	 formulaic
formular	 formal
formulação	 formulation
formulário	 form (to be filled in)
formulário	 formulary
formulário	 missal
fornalha	 furnace
fornecedor	 provider, caterer, vendor, supplier
fornecedora	 provider, caterer, vendor, supplier (female)
fornecer	 To supply, provide, furnish
fornecimento	 supply, provision
fornicar	 To fornicate
forno	 oven
forrar	 to line, to insert a lining
forrar	 to cover, to put a cover on
forrar	 to carpet
fortalecer	 To strengthen, fortify
fortalecimento	 fortification
fortaleza	 fortress
forte	 Capable of produce|producing great force; strong; forceful.
forte	 Capable of withstanding great force; strong; durable.
forte	 Highly stimulating to the senses; intense; extreme; strong.
fortemente	 strongly
fortim	 small fort
fortíssimo	 very loud
força	 force; strength
força	 power
forçar	 to force
forçosamente	 By force; forcefully.
forçosamente	 In necessity; inevitably; necessarily.
fosco	 Not shiny; having a matte finish or no particular luster.
fosfatar	 To phosphate
fosfatação	 phosphating
fosfato	 phosphate (any salt or ester of phosphoric acid)
fosfocálcico	 phosphocalcic
fosfodiéster	 phosphodiester
fosforescer	 To phosphoresce
fosforescência	 phosphorescence
fossar	 To nuzzle
fossar	 To grub (around)
fossar	 To probe, investigate
foto	 photo; photograph
fotocondutor	 photoconductor
fotocélula	 photocell
fotocópia	 photocopy
fotodetetor	 photodetector
fotodiodo	 photodiode
fotoemissor	 photoemitter
fotofobia	 photophobia.
fotografar	 to photograph; take a picture
fotografia	 photography
fotografia	 photograph
fotograficamente	 photographically
fotográfico	 photographic
fotooxidação	 photooxidation
fotorresistência	 photoresistance
fotosensível	 photosensitive
fotossensível	 photosensitive
fotossintético	 photosynthetic
fotossistema	 photosystem
fotossíntese	 photosynthesis
fotovoltaico	 photovoltaic
fotógrafo	 photographer
fotólise	 photolysis
fotômetro	 photometer
foz	 mouth of a river
fracamente	 weakly
fracamente	 slightly
fracasso	 the sound of objects crashing
fracasso	 failure
fracionar	 To fractionate
fraco	 weak (lacking in force or ability)
fraco	 weak (lacking in taste or potency)
frade	 friar
fragata	 frigate ship
fragilidade	 fragility
fragilização	 embrittlement
fragmentar	 To fragment
fragmentação	 fragmentation
fragmentação	 comminution
fralda	 diaper; nappy (an absorbent garment worn by a baby, or by someone who is incontinent.)
fralda	 foot of a mountain or hill
fralda	 the part of a shirt below the waist
framboesa	 raspberry (the fruit of ''Rubus idaeus'')
francesamente	 In the manner of French people; in context of France; Frenchly.
francesamente	 As said or written in French language; Frenchly.
franciscano	 Franciscan
francês	 Frenchman, inhabitant of France
francês	 French
francês médio	 Middle French (language)
frangalho	 tatter (shred of torn cloth)
frango	 a young chicken
franjar	 To fringe
franzino	 puny
franzino	 thin
fraque	 morning dress, white tie and tails
fraquejar	 To weaken
fraqueza	 weakness; fault
frase	 sentence
frase	 phrase
fraternidade	 brotherhood
fraternidade	 fraternity
fratura	 fracture
fratura	 break, breakage
fratura	 rift
fração	 fraction
freio	 brake (device used to slow or stop a vehicle)
freio	 bit (piece of metal placed in a horse's mouth and connected to reins to direct the animal)
freira	 nun
freixo	 ash (tree).
frequentar	 To frequent, attend, visit
frequentemente	 frequently, often
frequência	 frequency (rate of occurrence of anything)
freqüência	 Obsolete alternative form of frequência
fresador	 milling (engineering)
fresta	 chink, crack; a small hole or crack in a wall, courtain or other objects by which one can see what is beyond or outside them.
frete	 freight
frete	 shipping (charge)
freudianamente	 Relative to the psychoanalysis methods of w:Sigmund Freud|Sigmund Freud; Freudianly.
frieza	 coldness, coolness
frieza	 frigidity
frieza	 indifference, insensitivity
frigideira	 frying pan
frigorífico	 refrigerated
frigorífico	 refrigerator
frio	 cold
frio	 cold
frio	 coldness
frisar	 To curl, crimp (the hair etc)
frisar	 To stress
fritar	 to fry.
fritas	 french fries
friulano	 Friulian (inhabitant or native of Friuli)
friulano	 Friulian
friável	 friable
frondoso	 leafy (covered with leaves)
frontal	 frontal bone
frontaria	 front, frontage, facade
fronteiro	 front
fronteiro	 opposite
frota	 fleet
frouxamente	 flexibly
frouxamente	 softly
frouxamente	 loosely
frouxo	 flexible
frouxo	 soft
frouxo	 loose
frouxo	 lax
fruir	 To enjoy
fruição	 fruition
frustrar	 to frustrate
frustrar	 to thwart
fruta	 An edible fruit or nut.
fruta-pão	 breadfruit (tree).
frutado	 fruity (in aroma, taste)
fruteira	 fruit tree
fruteira	 fruit bowl
fruto	 fruit; result; reward
frutífero	 fruitful
frágil	 Prone to physically break easily; fragile; frail.
frágil	 Not comfortable or confident in oneself; insecure.
frágil	 Having a tendency to change; not stable; unstable.
frâncio	 francium
frêmito	 shudder, shiver, thrill
frívolo	 frivolous (of little importance)
frívolo	 futile
frívolo	 inconstant
frívolo	 silly
fugaz	 fleeting
fugir	 to escape; to run away; to flee
fuinha	 beech marten
fuinha	 weasel
fuinha	 miser
fuinha	 skinny person
fuinha	 gossip
fulano	 what's-his-name
fulcro	 fulcrum (the pivot about which a lever turns)
fuligem	 soot (fine black or dull brown particles)
fumal	 tobacco plantation
fumarento	 smoky
fumaça	 smoke (particles and vapor/vapour given off by burning material)
fumegar	 To smoke, steam, reek
fumo	 smoke
fumo	 fume
funcional	 In good working order; functional.
funcional	 Fulfilling a function; functional.
funcionar	 to work; to function
funcionário	 official
funcionário	 functionary
funda	 sling (cloth weapon)
funda	 catapult, slingshot (elastic weapon)
funda	 sling (hanging bandage)
fundamentalmente	 fundamentally
fundar	 To found, establish
fundação	 foundation (endowed institution or charity)
fundidor	 smelting
fundidor	 smelter
fundir	 to smelt.
fundição	 foundry
fundição	 font (set of typefaces)
fundo	 deep (having its bottom far down).
fundo	 bottom
fundível	 fusible
fungicida	 fungicidal (having the ability to destroy or control fungus)
fungicida	 fungicide
fungo	 fungus
fungível	 fungible
função	 function
furacão	 hurricane
furadeira	 drill (tool)
furar	 to pierce, puncture, make a hole in
furar	 to break in line, break a strikeNoun|strike
furar	 to fall into a hole
furiosamente	 furiously
furiosamente	 intensely
furna	 cave
furtar	 to steal (to illegally take possession of)
furto	 theft (act of stealing property)
furão	 ferret
furão	 meddler.
fuselagem	 fuselage
fusionar	 to fuse.
fuso horário	 time zone
fusão	 merger
fusão	 liquefaction
fusível	 fusible
fusível	 fuse (electrical)
futebol	 football, soccer
futebolista	 footballer (a person who plays football)
futuro	 future (the time ahead)
futuro	 future
fuzil	 rifle
fuzilar	 To shoot (with a gun)
fuzileiro	 rifleman, fusilier
fábrica	 factory (manufacturing place)
fábula	 fable, myth
fálico	 phallic (having to do with the penis)
fármaco	 pharmaceutical
fã	 fan (admirer or aficionado)
fé	 faith
féria	 holiday
férmio	 fermium (chemical element)
férreo	 Made of or containing the properties of iron.
férrico	 ferric
fértil	 fertile (capable of growing abundant crops)
fértil	 fertile (capable of reproducing)
fêmea	 female
fênix	 phoenix.
fêz	 fez
fígado	 liver (''organ of human or animal''; ''organ of animal used as food'')
físsil	 fissile
fítico	 phytic
fórmula química	 molecular formula
fórmula	 formula (in all senses)
fórum	 A justice court.
fórum	 An Internet forum; occasionally appended with the clarification "fórum ''de discussão''" (discussion forum).
fósforo	 match (device to make fire);
fósforo	 phosphorus.
fôlego	 breath
fôlego	 wind (ability to breath properly)
fúngico	 fungal
fúria	 rage
fútil	 futile, useless
fútil	 unimportant, frivolous
gabar	 To praise
gabar	 To brag, boast
gabinete	 cabinet (all senses)
gadanha	 scythe
gadanha	 a large spoon used to eat soup
gadanha	 claw of a bird of prey
gado	 livestock
gadolínio	 gadolinium
gafanhoto	grasshopper
gagauz	 Gagauz (person of Gagauzian descent)
gagauz	 Gagauzian; Gagauz
gaiola	 cage
gaiola	 birdcage
gaita de foles	 bagpipes
gaita	 harmonica (wind instrument)
gaivota	 seagull (white seabird of the family ''Laridae'')
galanteio	 courtship
galardão	 reward
galardão	 prize
galego	 Galician (pertaining to Galicia, Spain or the Galician language)
galego	 Galician person
galera	 galley
galeria	 gallery (all senses), balcony
galeria	 culvert
galhada	 antler (bony structure on the head of deer, moose and elk)
galhada	 the branches of a tree or bush as a whole
galhada	 a large branch from which smaller branches stem
galho	 branch (woody part of a tree arising from the trunk and usually dividing)
galicismo	 gallicism
galinha	 hen
galinheiro	 henhouse (house for chickens to live in)
galinheiro	 chicken breeder
galvanizar	 To galvanize
galvanização	 galvanization
galvanoplastia	 galvanoplasty, electroplating
galvânico	 galvanic
galático	 galactic
galáxia	 galaxy (collection of billions of stars, galactic dust, black holes, etc)
galão	 gallon (a unit of volume used for liquids)
galão	 galloon
galês	 Welsh (from Wales)
galês	 Welshman (man who is a native or inhabitant of Wales)
galício	 Galician person
gambá	 opossum
gambá	 Sometimes used erroneously for cangambá.
gambá	 A kind of drum consisting of a hollow log covered at one end.
gambá	 A kind of dance whose music uses this drum.
gancho	 hook; peg; grapple
gangue	 A gang of criminals.
ganhador	 winning
ganhador	 winner
ganhando	 gerund of ganhar
ganhar	 to win
ganho	 gain, profit
ganho	 advantage
ganso	 goose (a grazing waterfowl of the family Anatidae)
ganância	 greed, greediness
garagem	 garage (place to store a car)
garagem	 garage (place where cars are repaired)
garanhão	 stallion
garanhão	 stud (sexually active man)
garbo	 grace, style, chic, elegance
garbo	 daintiness
garbo	 polish
gargalhada fatal	 evil laugh
gargalhada	 laughter (sustained)
gargalo	 bottleneck
gargalo	 throat (of a bottle etc)
garimpeiro	 prospector
garoto	 boy, young man
garra	 claw (curved horny nail)
garrafa	 bottle
garrido	 elegant, showy, brash
garrido	 bright, cheerful
garça	 heron
garçom	 waiter (a server in a restaurant or similar)
gaseificar	 To gasify
gaseificação	 gasification
gasolina	 petrol / gasoline
gastador	 prodigal, extravagant
gastador	 spendthrift
gastar	 To spend
gastar	 To expend
gata	 female cat
gatilho	 trigger (finger-operated lever used to fire a gun)
gatilho	 trigger (similar activation mechanism)
gato	 cat (domestic cat: Felis silvestris catus)
gato	 feline
gato marmorado	 marbled cat (Pardofelis marmorata)
gato-andino	 Andean cat (Leopardus jacobita)
gato-bravo	 wildcat (Felis silvestris)
gato-bravo-de-patas-negras	 black-footed cat (Felis nigripes)
gato-bravo-marmoreado	 marbled cat (Pardofelis marmorata)
gato-chileno	 kodkod (Leopardus guigna)
gato-chinês-da-montanha	 Chinese mountain cat (Felis bieti)
gato-chinês-do-deserto	 Chinese mountain cat (Felis bieti)
gato-da-selva	 jungle cat (Felis chaus)
gato-de-cabeça-chata	 flat-headed cat (Prionailurus planiceps)
gato-de-iriomote	 Iriomote cat (Prionailurus iriomotensis)
gato-de-pallas	 manul (Otocolobus manul)
gato-do-deserto	 sand cat (Felis margarita)
gato-do-mato	 ocelot (Leopardus pardalis)
gato-do-mato	 oncilla (Leopardus tigrinus)
gato-do-mato-grande	 Geoffroy's cat (Leopardus geoffroyi)
gato-do-mato-pequeno	 oncilla (Leopardus tigrinus)
gato-do-pantanal	 Pantanal cat (Leopardus braccatus)
gato-dos-pampas	 Pampas cat (Leopardus pajeros)
gato-dourado-africano	 African golden cat (Profelis aurata)
gato-dourado-asiático	 Asian golden cat (Catopuma temminckii)
gato-ferrugem	 rusty-spotted cat (Prionailurus rubiginosus)
gato-leopardo	 leopard cat (Prionailurus bengalensis)
gato-maracajá	 margay (Leopardus wiedii)
gato-montês	 wildcat (Felis silvestris)
gato-mourisco	 jaguarundi (Puma yagouaroundi)
gato-palheiro	 Pampas cat (Felis pajeros)
gato-palheiro	 colocolo (Felis colocolo)
gato-pescador	 fishing cat (Prionailurus viverrinus)
gato-selvagem	 wildcat (Felis silvestris)
gato-vermelho-de-bornéu	 bay cat (Catopuma badia)
gatuno	 light-fingered
gatuno	 thief, pilferer
gauchismo	 The gauchesque literary movement.
gaveta	 drawer (open-topped box in a cabinet used for storing)
gavião	 hawk
gazela	 gazelle
gaélico	 Gaelic (relating to the languages of the Gaelic family)
gaúcho	 gaucho
geada	 an instance of frost in an area
gear	 to frost (weather)
geena	 hell
gefirofobia	 gephyrophobia.
geladeira	 refrigerator (appliance that refrigerates food)
gelado	 frozen
gelado	 cold
gelar	 to freeze (to become solid due to low temperature)
gelar	 to become dispassionate
gelatina	 gelatine (substance)
gelatina	 gelatine (edible jelly)
geleia	 jelly
geleia	 jam
geleira	 glacier
geleira	 refrigerator
gelo	 ice (frozen water)
gema	 yolk
gema	 gem
gema	 bud, shoot
gemelaridade	 twinning
gemer	 to groan, moan, wail
generalidade	 generality; commonplace
generalidade	 most
generalizar	 To generalize
generalização	 generalisation, generalization
generosidade	 generosity
generosidade	 largesse, magnanimity
geneticista	 geneticist.
gengibre	 ginger
gengiva	 gum (flesh around teeth)
genialidade	 ingeniousness
genocídio	 genocide (systematic killing of substantial numbers of people)
genocídio	 a great slaughter; carnage; massacre
genoma	 genome
genro	 son-in-law
gentalha	 poor people collectively; low class people; plebeians; mob
gentil	 gentle; amiable; kind
gentil	 elegant
gentil	 gentle; polite; respectful
gentileza	 kindness (being kind)
gentinha	 riff-raff, rabble
gentio	 gentile
