100 mètres	 100 metres
matin	 morning
matinalier	 A presenter of a morning radio show.
matineux	 That is habitually an early riser; early-rising.
matinée	 morning
matière	 subject (at school)
matière grasse	 fat (refined substance chemically resembling the oils in animal fat)
matois	 sly (artfully cunning; secretly mischievous; wily)
matois	 sly fox
matraquage	 bashing, beating up
matraquage	 brainwashing
matraquer	 to club
matraquer	 to hype
matras	 a crossbow's square, with a cylindric or quadrangualar head
matras	 an alchemist's long-necked glass receiver
matriarcal	 matriarchal
matriarche	 matriarch
matricaire	 mayweed (of the genus ''Matricaria'')
matrice	 matrix
matrie	 homeland
matrone	 matron
matrone	 matriarch
maturité	 maturity
matérialisation	 materialization
matérialiser	 to realize, make happen
matérialiste	 materialist
matérialiste	 materialistic
matériau	 material (generic material)
matériel	 equipment, supplies
matériel	 hardware
matériel	 material
maudit	 damn; cursed; goddam
maugréer	 To grumble
maure	 Moorish
mauresque	 Moorish
mauricien	 Mauritian
mauritanien	 Mauritanian
mausolée	 mausoleum
maussade	 sullen (mood)
maussade	 dull, dreary (landscape, weather etc.)
mauvais	 bad
mauvais	 wrong, incorrect
mauvais sort	 curse (supernatural detriment)
mauvaise honte	 bashfulness <!-- fausse honte|Fausse honte de ce qui n'est pas blâmable, et quelquefois même de ce qui est louable. -->
mauvaiseté	 wickedness
mauve	 mallow
mauve	 mew, gull, seagull
mauviette	 wimp
maxidiscompte	 discount, low-cost (used especially to describe shops that sell basic items at a heavy discount)
maxidiscompteur	 discount store
maxillaire	 maxillary
maxillaire	 maxilla
maximaliser	 to maximize
maxime	 maxim
maximiser	 To maximize
maya	 Mayan (relating to the Mayans)
maya	 Mayan (relating to the Mayan language)
mayennais	 relating to Mayenne
mazout	 heating oil
mazouter	 to pollute with petrol or oil
mazouté	 polluted with oil
maçon	 mason, stonemason; builder
maçonner	 To face or render (a wall etc)
maçonner	 To brick up
maçonnerie	 masonry|Masonry: the art, profession, work, or product of a mason, or a thing constructed of stone, brick, or the like.
maçonnique	 masonic, Masonic
maëlstrom	 maelstrom
maître d'hôtel	 the person in charge of the team of waiters in a restaurant or hotel
maître d'hôtel	 a headwaiter; major-domo
maître	 master
maître	 leader
maître de maison	 host (person who allows a guest)
maître d'ouvrage	 client, customer, user
maître-autel	 high altar
maître-chien	 dog handler
maîtresse	 mistress
maîtresse de maison	 housewife
maîtresse de maison	 hostess
maîtrise	 mastery
maîtrise	 control
maîtrise	 (in Canada) master's degree
maîtriser	 to master, have authority over somebody
maîtriser	 to dominate, overcome, conquer, control
maîtriser	 to master, to be able to, to know how to accomplish very well
maïeutique	 maieutics
maïs	 corn, maize
maïzena	 cornflour / cornstarch
mecklembourgeois	 Of or from Mecklenburg
meilleur	 better (comparative of ''bon'', literally ''meilleur'' means ''plus bon'')
meitnérium	 meitnerium.
melon d'eau	 watermelon
membranaire	 membrane (attributive), membranal
membrane déciduale	 decidua
membre	 limb, member
membre	 member, penis
membre viril	 male member (penis)
membrure	 frame (of a person)
membré	 well-hung
menace	 threat
menacer	 to threaten, to jeopardise
menacer	 to endanger, to menace
menaçant	 menacing, threatening
mendiant	 A beggar.
mendiant	 A traditional Christmas confection, a chocolate disc studded with nuts and dried fruits representing the various mendicant monastic orders.
mendiant	 A pastry from Alsace and Franche-Comté.
mendicité	 begging, panhandling
mendier	 to beg (plead for money or goods)
mendigot	 beggar
mendélévium	 mendelevium
meneau	 mullion
mener	 to lead, to run, to take charge
mener	 to lead, to be leading, to be in the lead
menologe	 Menologium
menotte	 small hand (especially the hand of a child)
menotter	 To handcuff
mensonge	 a lie or falsehood
mensonger	 false, mendacious, deceitful, untruthful
menstruel	 monthly; mensural
menstruel	 menstrual
menstruer	 to menstruate
mensualisation	 monthly payment (salary, hire purchase etc)
mensualiser	 To pay monthly
mensualité	 monthly payment or salary
mensuel	 A monthly: a newspaper or magazine that is published monthly.
mensuellement	 monthly (once a month)
mensuration	 measurement
mental	 mind
mentalement	 mentally
mentalité	 mentality
menterie	 untruth, lie
menthe	 mint
mentholé	 mentholated
menthylé	 mentholated
mention	 mentionEnglish|mention (act of mentioning)
mention	 slogan
mentionner	 to mention
menton	 chin
mentons	 First-person plural present of mentir.
menu	 slim, small, fine
menu	 minor, trifling
menu fretin	 small fry
menuet	 minuet
menuiser	 to do craftwork or small handiwork
menuiserie	 carpentry, joinery, woodwork
menuisier	 carpenter, joiner
mer Ionienne	 Ionian Sea (European sea)
mer Jaune	 Yellow Sea (asian sea)
mer à boire	 An insurmountable task, an endeavour too large to handle.
mercantilisme	 mercantilism
mercantiliste	 mercantilist
mercantiliste	 mercantilist
mercatique	 marketing
mercenaire	 mercenary
mercenaire	 mercenary (person employed to fight)
mercerie	 haberdashery (goods)
mercerie	 haberdashery (shop)
merchandiser	 To optimize the profitability of a point of sale and of its merchandise.
merci beaucoup	 thank you very much
merci	 mercy, grace
mercier	 mercer
mercredi	 Wednesday
mercure	 mercury
mercuriale	 reprimand, scolding
mercuriel	 mercurial
mercurochrome	 antiseptic
merise	 wild cherry (fruit)
merisier	 cherry (wood)
merisier à grappes	 bird cherry (''Prunus padus'')
merlan	 whiting (fish)
merlette	 Female blackbird
merlin	 An ax with a long handle whose blade is coupled with a broad side that can be used as a sledgehammer.
merlu	 hake
merrain	 oak stave (used to make barrels etc)
merveille	 wonder; marvel
merveilleusement	 wonderfully; brilliantly; amazingly
merveilleux	 marvelous, brilliant
mesdames et messieurs	 ladies and gentlemen
mesquin	 unimportant
mesquin	 small-minded
mesquin	 poor, of poor quality
mesquinement	 meanly, narrow-mindedly, niggardly
mesquinerie	 pettiness, meanness
messager serpentaire	 secretary bird
messager sagittaire	 secretary bird
messager secrétaire	 secretary bird
messager	 A messenger; one who carries a message.
messagerie	 distribution or parceling service
messagerie vocale	 voicemail
messianique	 messianic
messidor	 Messidor (month)
messie	 messiah
messin	 of or from the city of Metz
mesurable	 measurable
mesurage	 measurement (act of measuring)
mesure	 measure
mesure	 measurement
mesure indirecte	 proxy (measurement of one physical quantity that is used as an indicator of the value of another)
met	 ''third-person singular indicative present of "mettre"'', puts
metal chrétien	 Christian metal
mettait	 ''third-person singular imperfect indicative of '''mettre'''''
mettant	 ''present participle of mettre''
mettent	 ''third-person plural present indicative form of '''mettre'''
metteur	 director
mettre de côté	 to put aside, to save (money, etc.)
mettre en cause	 to suspect; to accuse, blame
mettre en scène	 to set up a stage or a studio
mettre en œuvre	 to carry out, set in motion, do
mettre en place	 to put in place, set up
mettre en route	 to start, to turn on
mettre à sac	 to ransack (to loot or pillage)
mettre au rancart	 to scrap (an object, project etc.)
mettre au pointe	 to ready for use, to make available
mettre à toutes les sauces	 use all types of sauces for (a determined food).
mettre à toutes les sauces	 ''(fig.)'' make (something) fit every occasion.
meublant	 furnishing
meuble	 piece of furniture
meuble	 ''form of '''meubler'''''
meubles	 furniture
meuf	 woman as an object of desire, chick
meuglement	 a moo
meugler	 to moo, to low
meuh	 moo
meule	 grindstone
meule	 millstone
meule	 round (of cheese)
meule	 haystack, stack
meule de foin	 haystack (a mound, pile, or stack of stored hay)
meuler	 to sharpen on a grindstone
meulière	 millstone (rocky stone)
meunerie	 milling (flour trade)
meunier	 miller (person)
meunière	 A miller’s wife.
meurette	 A type of red wine sauce
meursault	 Meursault (type of white Burgundy wine)
meurt	 ''third-person singular present indicative form of '''mourirFrench|mourir'''''
meurtre	 murder
meurtrier	 deadly, bloody (involving death)
meurtrier	 murderer (person who commits murder)
meurtrier de masse	 mass murderer.
meurtrissure	 bruise
meurtrissure	 scar
meurtrière	 (female) murderer, murderess
mexicain	 Mexican
mi bémol majeur	 E-flat major
mi-bas	 (for women) pop sock(s) (''UK''), knee-high(s) (''US'')
mi-figue mi-raisin	 half-hearted
miam	 yum
miaou	 meow
miaulement	 a miaow
miauleur	 miaowing
miauleur	 miaower
micacé	 micaceous
michelangelesque	 Of or pertaining to Michelangelo, Michelangelesque.
micmac	 carry-on, jiggery-pokery
micmac	 Mi'kmaq (language)
micocoulier	 hackberry (shrub of the genus ''Celtis'')
micro	 mic (microphone)
micro	 microEnglish|micro (microcomputer)
micro-onde	 microwave (wave)
microbien	 microbial
microbille	 microbead
microbiologique	 microbiological
microbiologiste	 microbiologist
microcalorimètre	 microcalorimeter
microchirurgie	 microsurgery (surgical procedures that are very small)
microclimat	 microclimate
microcosme	 microcosm
microcosmique	 microcosmic (of, or relating to a  microcosm)
microcristal	 microcrystal
microdisquette	 floppy disk|Floppy disk, microfloppy, microdiskette.
microfiltré	 microfiltered
microforme	 microform
microfossile	 microfossil
microfuite	 microleak
micrographie	 micrography
micrographique	 micrographic
microgravimétrique	 microgravimetric
microgravité	 microgravity
microjupe	 microskirt
micromètre	 micrometre (one-millionth of a metre)
micromécanisme	 micromechanism
micrométrique	 micrometric
micrométéorite	 micrometeorite
micronique	 micronic
micronutriment	 micronutrient
micronésien	 Micronesian
micropaléontologie	 micropaleontology
microparticule	 microparticle
micropesanteur	 microgravity (very low gravity)
microphotographie	 microphotography
microplaquette	 microchip
microprocesseur	 microprocessor
microradiographie	 microradiography
microscopique	 microscopic 
microseconde	 microsecond
microsillon	 microgroove
microsillon	 long-playing record
microséisme	 microseism
microéconomie	 microeconomics
microélectronique	 microelectronic
miction	 urination
midi	 noon, midday
midi	 south
mie	 soft part (of bread), crumb (of loaf)
miel	 honey
miellat	 honeydew
mielleusement	 In a honeyed way; honeyedly.
mielleux	 honeyed, smooth, mellifluous (words); smooth-tongued, unctuous (person)
mielleux	 sugary, sickly-sweet (flavour)
miellé	 honeyed, with honey
miellé	 honey-colored
miellé	 sweet as honey
mien	 mine
mienne	 ''feminine of mienFrench|mien''; mine
miens	 mine
miette	 crumb (''of bread or cake'')
mieux	 the best of one's ability, best
mignardise	 preciousness, affectation
mignon	 cute
mignonnement	 cutely; adorably
mignonnette	 miniature (small bottle))
mignonnette	 cracked pepper
mignonnette	 piece of pork tenderloin
migraineux	 migrainous
migrateur	 migratory ((of birds, etc) that migrate)
migratoire	 migratory
mijaurée	 pretentious woman; young madam
mijoter	 to simmer
mijoteuse	 slow cooker, crockpot
milan	 kite
milanais	 Milanese (from or pertaining to Milan)
mildiou	 mildew (growth of minute fungi)
miliaire	 miliary
milice	 militia (army of trained civilians called upon in time of need)
milicien	 militiaman
milieu	 middle; center
milieu	 setting; environment; surroundings
milieu	 social circle; milieu
militaire	 military, militaristic
militaire	 military
militant	 activist, campaigner
militantisme	 militancy
militantisme	 activism
militariser	 To militarize
militarisme	 militarism 
militer	 to militate
militer	 to campaign for, to be militant about
mille	 thousand, a thousand, one thousand
mille	 thousand
mille	 nautical mile (short for mille nautique)
mille nautique	 ''non standard form of'' nautique.
mille marin	 nautical mile
millepertuis	 St John's wort
milles trous	 baghrir, crêpes arabes (rich Moroccan crêpes served hot with butter and honey).
milliard	 A milliardEnglish|milliard (''a w:Long and short scales|short scale billion'').
milliard	 A milliardEnglish|milliard (''a w:Long and short scales|short scale billion'').
milliardaire	 billionaire
milliardième	 billionth
milliardième	 billionth (fraction)
millier	 thousand; a number of about thousand.
milligramme	 milligram 
millimètre	 millimetre
millimétrique	 millimetric
millimétrique	 very precise
millimétré	 graduated in millimetres
millimétré	 very precise
million	 millionEnglish|million, 10<sup>6</sup>.
millionième	 millionth
millionième	 millionth
millionnaire	 millionaire
millionnaire	 Very rich
milliseconde	 millisecond (one one-thousandth of a second)
millième	 thousandth
millième	 thousandth
millénaire	 millennial, thousand-year-old
millénaire	 millennium, a thousand years
millénarisme	 millenarianism
millénariste	 millenarian
millénium	 millennium
millésime	 year, date
millésimé	 vintage
mimer	 to mime
mimer	 to mimic
mimique	 mimical
mimique	 mimicry
mimétisme	 mimicry
minable	 lousy, stinky, rubbish
minable	 miserable, pathetic
minablement	 lamentably
minage	 act of mining
minauder	 to simper
minauderie	 affectation
minaudier	 coquettish; affected
mince	 slim, slender
mince	 drat!, darn!
mince	 wow!, blimey!
minceur	 thinness, slenderness
mincir	 to make thinner or slimmer
mine	 mineEnglish|mine (excavation or explosive)
mine	 pencil lead
mine	 appearance, physical aspect; expression
miner	 To mine, exploit natural riches
minerai	 ore (rocklike material)
minette	 (female) kitten
minette	 (female) puss, pussycat
mineur	 minor
mineur	 A minor (as defined by the age of majority)
mineur	 A miner
mini	 small; tiny
mini-short	 (pair of) hot pants
miniaturisation	 miniaturization (act or process of miniaturizing)
miniaturiser	 to miniaturise
minichaîne	 mini (audio) system
minijupe	 miniskirt
minimaliser	 to minimize
minimaliste	 minimalist
minime	 minimal
minimessage	 text message
minimiser	 To lessen the importance of in the mind of people; to belittle, downplay, understate.
minimum syndical	 bare minimum
ministre	 minister
ministre	 indigo bunting, a bird with taxonomic name ''Passerina cyanea''
ministère	 ministry 
ministériel	 ministerial
ministériellement	 ministerially
minitel	 Minitel
minitéliste	 A Minitel user
minium	 red lead
minivoiture	 minicar
minkowskien	 Minkowskian
minoen	 Minoan
minois	 The small, delicate face of an infant
minoritaire	 minor, in the minority.
minorité	 minority
minorquin	 Minorcan
minotaure	 minotaur
minoterie	 flour milling
minoterie	 flour mill
minuit	 midnight
minutage	 timing
minute	 Noun|minute (etymology 1, time unit, all same senses)
minute	 waitVerb|wait a sec!
minuter	 To time
minuter	 To take minutes (of a meeting)
minuterie	 time switch, timer
minuteur	 timer
minutie	 meticulousness, close attention to detail
minutieusement	 meticulously, in careful detail, elaborately
minutieux	 thorough, elaborate, detailed
miné	 mined
miné	 undermined
minéral	 mineral
minéral	 mineral
minéralier	 A ship carrying minerals.
minéralisation	 mineralization
minéraliser	 To mineralize
minéralisé	 mineralized
minéralogie	 mineralogy
minéralogique	 mineralogical
minéralogiste	 mineralogist
miocène	 Miocene
mirabelle	 mirabelle plum
miraculer	 To cure by means of a miracle
miraculeusement	 miraculously
miraculeux	 miraculous
miraculé	 miraculously cured
miraculé	 miraculous
mirandais	 Mirandese (language)
mire	 foresight (of rifle)
mire	 target (literal, figurative)
mirent	 ''third-person plural past historic form of mettre''
mirifique	 wonderful
mirobolant	 great, enormous
miroir	 mirror
miroir sans tain	 one-way mirror
miroitant	 sparkling, shimmering
miroitement	 mirror; mirroring
miroiter	 to sparkle, gleam
miroiterie	 the mirror business
miroiterie	 mirror factory
miroitier	 mirror manufacturer or seller
misandrie	 misandry
misanthropique	 misanthropic (hating or disliking mankind)
mischmétal	 mischmetal
miscibilité	 miscibility
mise	 placement, (act of) putting
mise	 appearance, dress
mise	 bet,wager
mise en bouteille	 bottling
mise à jour	 update (action of updating)
mise en page	 layout (process, and result, of arranging media content for publishing)
mise en ordre	 ordering, sorting out
mise en situation	 scenario
mise en situation	 context
mise en garde	 caution, admonition
mise en examen	 indictment
mise à niveau	 upgrade
misogyne	 misogynist
misogyne	 misogynous
misogynie	 misogyny
misologie	 misology
missel	 missal
missionnaire	 relating to a mission
missions	 First-person plural subjunctive imperfect form of '''mettre'''.
mistralien	 Mistralian
misère	 misery
misère	 poverty
misérable	 destitute, impoverished
misérable	 seedy, shabby
misérable	 wretched, miserable, pitiful
misérable	 feeble, paltry, measly
misérable	 wretch, scoundrel
misérablement	 miserably
miséreux	 poverty-stricken, destitute
miséricorde	 mercy
miséricordieux	 merciful
mit	 ''third-person singular indicative past historic of mettre''
mitage	 urban sprawl, urban scattering
mitaine	 fingerless glove
mitard	 hole (place where a prisoner is kept in solitary confinement)
mite	 miteEnglish|mite (arachnid)
mite	 moth, particularly one whose larva destroys something stored by humans
miter	 to construct buildings in an unregulated pattern
miteux	 shabby, seedy
mithridatisation	 mithridatism|Mithridatism; slow immunization (to a toxin) by repeated ingestion of increasing doses.
mithridatiser	 To immunize against a poison by taking small amounts of it
mitiger	 to mitigate, soften
mitigé	 qualified (success etc.); ambivalent (feelings), lukewarm (results)
mitochondrie	 mitochondrion
mitoyen	 adjoining, dividing, common
mitraillade	 machine-gunning
mitraillage	 machine-gunning, strafing
mitraillette	 submachine gun
mitrailleur	 machine-gunner
mitrailleuse	 machine gun
mitrailleuse	 female machine-gunner
mitterrandien	 Mitterrandian
mixer	 to mix
mixeur	 blender (machine)
mixeur	 mixer (mixing console)
mixité	 mix
mixité	 mixed-sex education
mixotrophique	 mixotrophic
mixte	 mixed; varied
mièvre	 soppy (sickly sentimental)
mièvrerie	 soppiness, mushiness, sentimentality
mnémonique	 mnemonic (related to mnemonics)
mnémonique	 mnemonic
mnémonique	 mnemonics
mnémotechnique	 mnemonic (related to mnemonics)
mobile	 moving
mobile	 movable
mobile	 mobileEnglish|mobile (''decoration'')
mobile	 motive (''for an action, for a crime'')
mobile	 mobile phone
mobilier	 furniture
mobilier	 property (attributive)
mobilisateur	 mobilizing
mobilisateur	 inspiring
mobilisation	 militarisation, mobilisationEnglish|mobilisation
mobiliser	 To mobilize
mobilité	 mobility
mobylette	 moped
mocheté	 ugliness
modal	 a modal verb
modalité	 modality
mode	 fashion, trend
mode	 method, means, way, mode, (in grammar) mood
modelage	 modelling
moderne	 modern
modernement	 modernly
modernisateur	 modernizer
moderniser	 to modernize
modernisme	 modernism, modernity
modernissime	 supermodern
modernité	 modernity
modeste	 modest
modestement	 modestly
modicité	 modesty
modificatif	 modifying
modifier	 to change, modify
modique	 modest (of a price, sum of money etc.)
modulable	 modular
modularité	 modularity
modulateur	 modulator
moduler	 to modulate
modèle	 model, example
modéliser	 To model (construct a physical or conceptual model)
modélisme	 modelling; model making
modéliste	 fashion designer
modéliste	 model maker
modélisé	 modelled
modérateur	 moderator
modérateur	 moderate, not extreme
modération	 moderation
moelle épinière	 spinal cord
moelle	 marrow (substance inside bones)
moelle	 spinal cord
moelle	 pith
moelleux	 full of marrow, marrowy
moi	 me (first-person singular direct object pronoun)
moi	 ego
moi-même	 myself.
moignon	 stump (The remains  of something that has been cut off; especially the remains of a limb).
moignon	  stub (something cut short, blunted, or stunted)
moindre	 lower; less; lesser
moindrement	 in the least or slightest manner
moine	 monk
moineau	 sparrow
moinerie	 monastery
moinillon	 young monk
moins	 less
moins	 the minus sign
moins	 minus
mois	 month
moisi	 mouldy
moisi	 mould (woolly or furry growth of tiny fungi)
moisissure	 mould (woolly or furry growth of tiny fungi)
moisson	 harvest
moissonnage	 harvesting
moissonner	 to harvest (to reap)
moissonneur	 harvester, reaper
moissonneuse	 harvester
moite	 sticky, muggy (heat, weather)
moite	 sticky, sweaty (skin, hands etc.)
moiteur	 wetness, dampness
moiteur	 sweat
moitié	 half
mol	 Form of mou used in the masculine singular before a vowel sound.
moldamax	 An alloy of copper and beryllium used to make moulds for plastic products
moldave	 Moldavian
moldave	 Moldavian (language)
moldu	 muggle (as in Harry Potter)
moleskine	 moleskin (fabric etc)
mollasson	 sluggish
mollesse	 wetness, moisture
mollesse	 lack of vitality, limpness, feebleness
molletière	 gaiter, puttee (leg covering)
molleton	 felt; duffel
molleton	 fleece
molletonné	 fleecy, fleece-lined
mollett	 calf (back of leg)
mollett	 pleasantly soft
mollett	 (''of eggs'') poached
mollir	 To mollify
mollir	 To ease off or die down; to relent
mollusque	 mollusc
molybdène	 molybdenum
moléculaire	 molecular
moléculairement	 molecularly
moment	 a while
momentané	 momentary
momentanément	 momentarily
momie	 mummy (embalmed corpse)
momifier	 to mummify
momordique	 Any plant of the ''Mormodica'' genus.
momordique	 exploding cucumber
mon	 Followed by rank, address to a (male) superior officer in the military. Army-specific short for "monsieur".
mon Dieu	 my God! 
mon petit doigt	 a little bird told me|A little bird (told me).
monacal	 monastic
monachisme	 monachism, monasticism
monarchie	 monarchy
monarchique	 monarchical
monarchisme	 monarchism
monarchiste	 monarchist
monarchiste	 monarchist
monarque	 monarch
monastique	 monastic
monastère	 monastery
monceau	 heap, pile
mondain	 worldly, mundane
mondain	 chic
mondanité	 worldliness
mondanité	 society (worldly life)
mondanité	 gossip column
monde	 world
monde	 people
monder	 To blanch (vegetables)
monder	 To clean or purify
mondeuse	 A variety of black grape from Savoie
mondial	 global, worldwide
mondialement	 globally (affecting the whole world)
mondialiser	 to globalise; become global
mondialisme	 globalism (doctrine of globalization)
mondialiste	 globalist
mondialiste	 globalist
mondovision	 telecast (worldwide, by satellite)
mongol	 Mongolian
mongol	 Mongolian language
mongol	 Mongol (idiot)
mongolien	 Mongolian
mongolien	 A person with Down syndrome
mongolisme	 mongolism, Down's syndrome
moniteur	 monitor (someone who watches over something)
moniteur	 monitor (instructor, teacher, supervisor)
monitorage	 monitoring
monitorat	 mentoring
monitrice	 monitor (someone who watches over something)
monnaie	 change (money back after a transaction)
monnaie	 currency
monnaie	 cash, change (coins, as opposed to notes)
monnaie	 coinage
monnaie unique	 single currency
monnayable	 convertible (into cash); worth money
monnayage	 minting, coin-making
monnayer	 to mint coins
monnayeur	 minter (person who mints money)
monocaméral	 unicameral
monochromatique	 monochromatic
monocoque	 monohull
monocristal	 monocrystal
monocristallin	 monocristalline
monoculaire	 monocular
monocycle	 unicycle (one-wheeled pedaled cycle)
monocyclique	 monocyclic
monocycliste	 unicyclist
monocépage	 A monovarietal wine
monodenté	 monodentate
monogame	 monogamous
monogamie	 monogamy
monogamique	 monogamic (pertaining to monogamy)
monoglycéride	 monoglyceride
monogramme	 a monogram
monographie	 monography
monoinsaturé	 monounsaturated
monolingue	 monolingual
monolinguisme	 monolingualism
monolithe	 monolith
monolithique	 monolithic
monolithisme	 monolithic organization or behaviour
monologuer	 To soliloquize
mononucléaire	 mononuclear
monoparental	 single-parent (attributive)
monoparentalité	 single parenthood
monophasique	 monophasic
monophasé	 single-phase (attributive)
monophonie	 monophony
monophonique	 monophonic, monaural
monophtongaison	 monophthongization.
monophylle	 unifoliate (having a single leaf)
monoplace	 single-seater (car, aircraft)
monoplan	 monoplane
monopole	 monopoly
monopolisation	 monopolization
monopoliser	 to monopolize (have a monopoly)
monopoliste	 monopolist
monopolistique	 monopolistic
monoski	 monoskiing
monosodique	 monosodium (attributive)
monospace	 minivan
monosyllabe	 monosyllable
monosyllabique	 monosyllabic
monothéiste	 monotheist
monothéiste	 monotheistic
monotone	 whose speech is monotone
monotone	 boring due to uniformity or lack of variety; monotonous
monotonement	 monotonously
monotrème	 monotreme
monstre	 a monster
monstre	 a hideous person
monstre	 a fiend<!-- this may be synonymous to 1 or 2 -->
monstre	 (colloquial) enormous
monstrueusement	 monstrously
monstrueux	 monstrous
monstruosité	 monstrosity (all senses)
mont	 mountain, mount, Latin|mont
monta	 ''third-person singular past historic form of monter''; climbed
montage	 assembly, set-up
montagnard	 mountain-dwelling
montagne	 mountain
montagnes russes	 rollercoaster
montagneux	 mountainous
montait	 ''third-person singular imperfect indicative form of monter''; climbed/went up, was climbing/was going up, used to climb/used to go up
montant	 upwards, climbing
montant	 uphill
montant	 A monetary amount.
montant	 A structural montantEnglish|montant.
monte	 copulation, mating season
monter	 to ascend, go higher, go uphill, go upstairs
monter	 to get on, get in (a vehicle)
monter	 to ride (a horse)
monter	 to mount (a horse)
monter	 to put up (a tent)
monter	 to string (an instrument)
monteur	 editor (film, TV, etc.)
montgolfière	 hot-air balloon
monticule	 mound, hillock
montra	 ''third-person singular past historic form of montrerFrench|montrer''
montre	 watch (wristwatch)
montrer	 to show
montreur	 exhibitor
montreur	 showman
montreur	 puppeteer
montreuse	 exhibitor (female)
montré	 ''past participle of '''montrerFrench|montrer'''''
montréalais	 pertaining to Montréal
montueux	 hilly
monture	 A mount, an animal which is ridden
monture	 A setting,  bezel, frame etc. onto or into which an object is mounted
monture	 A mechanical mounting job
monténégrin	 Montenegrin
monténégrin	 Montenegrin (language)
monère	 moneran
monétaire	 monetary, fiscal
monétarisme	 monetarism
monétariste	 monetarist
monétariste	 monetarist
monétique	 electronic banking
monôme	 monome, monomial
monôme	 rag day procession
moquerie	 mockery; joking; jesting
moquette	 fitted carpet
moquetter	 To carpet
moqueur	 mocker, someone who mocks, someone who poke fun|pokes fun
moqueur	 mocking; that mocks, that pokes fun
moqueur	 mockingbird
moqueusement	 mockingly
moral	 morale, optimism
morale	 ethics|Ethics, morality
moralement	 morally
moralisateur	 moralizing, sanctimonious
moralisation	 moralization
moraliser	 To moralize
moralisme	 moralism
moraliste	 moralist
moralité	 morality
moratoire	 moratorium
morave	 Moravian (pertaining to Moravia)
morbidité	 morbidity
morbihannais	 of, from, or relating to, Morbihan, a French department in Brittany
morceau	 piece, slice, bit, morsel
morceler	 To break up; to divide up
morcellement	 breaking up
mordillage	 nibble
mordiller	 to chew (to crush food with teeth prior to swallowing)
mordoré	 golden brown
mordre	 to bite
morelle	 nightshade
morfondu	 dejected
morganatique	 morganatic
morganatiquement	 morganatically
moribond	 moribund
morille	 morel
mormon	 Mormon
morne	 gloomy, glum, dismal, dreary
morose	 sullen, gloomy, moroseEnglish|morose
morosité	 gloom; gloom and doom; gloominess; morosity
morphographie	 morphography
morphologique	 morphological (relating to morphology)
morphométrique	 morphometric
morpion	 (''in plural'' '''morpions''') crabs, pubic lice
morpion	 brat, sprog, unruly child
morpion	 ticktacktoe (''US''), noughts and crosses (''UK'')
morse	 walrus
morse	 Morse code
morsure	 bite (act of biting)
morsure	 bite (the wound as a result of being bitten)
mort	 dead
mort	 death
mort de rire	 die|Died laugh|laughing, the French style or version of LOL.
mort ou vif	dead or alive
mort subite du nourrisson	 cot death, sudden infant death syndrome
mort aux rats	 rodenticide
mort-né	 stillborn (dead at birth)
mort-né	 stillborn
mort-vivant	 undead (those creatures which are dead yet still move)
mortadelle	 mortadella
mortaise	 mortise / mortice
mortalité	 mortality
mortel	 deadly
morticole	 incompetent person
morticole	 quack (charlatan doctor)
mortier	 mortar (the weapon)
mortier	 mortar (small bowl used to crush or grind food)
mortifiant	 mortifying
mortifié	 mortified
mortuaire	 mortuary
morue	 cod
morutier	 cod fisherman or fishing boat
morve	 snot (mucus)
morve	 glanders
morveux	 snotty (kid)
morveux	 brat
morveux	 jerk
mosaïque	 mosaic (artwork)
mosaïque	 related to Moses
mosaïste	 mosaicist
moscovien	 Muscovian
moscovite	 Muscovite
mosellan	 Of or pertaining to French department Moselle
mosquée	 mosque
mot	 word
mot	 note, (short) message
mot juste	 Exactly the right word or phrasing.
mot de passe	 password
mot d'esprit	 witticism
mot d'ordre	 watchword
mot ad hoc	 nonce word
motard	 motorcyclist in the armed forces or the police
moteur	 motor, engine
moteur	 motive, driving
moteur à explosion	 piston engine
motif	 motive
motif	 pattern, design
motilité	 motility
motion	 Noun|motion (4)
motive	 imperative form of motiver
motive	 singular present imperfect form of motiver
motiver	 to motivate
motives	 ''second-person singular indicative present of motiver''
motivé	 motivated
moto	 bike, motorbike (motorcycle)
motoculteur	 rotavator (rotary tiller)
motocycle	 motorcycle
motocyclette	 motorcycle
motocyclisme	 motorcycle sport
motocycliste	 motorcyclist
motoneige	 snowmobile
motorisation	 motorization
motoriste	 engine manufacturer
motorisé	 motorized
motrice	 railway train (typically diesel/electric, that has an engine and passengers in the same vehicle)
motricité	 motivity, motive power
motte	 clod, lump of earth
motte	 block (of butter)
motus et bouche cousue	 mum's the word
mou	 soft, pliable
mou	 lungs, lights (of a slaughtered animal)
moucharabieh	 mashrabiya, moucharaby
mouchard	 grass, tell-tale (police informant)
mouchard	 hidden microphone
mouchard	 spyhole, peephole
mouchard	 tachograph
mouchardage	 informing, grassing, ratting
moucharder	 to rat; to rat on
moucharder	 to tell tales
mouche de vinaigre	 fruitfly
moucheron	 gnat, midge
moucheture	 fleck, speckle
moucheté	 dappled, mottled
moucheté	 flecked, brindled
mouchoir	 handkerchief
mouchoir en papier	 paper handkerchief, tissue
moudjahidin	 mujaheddin, mujahedeen, mujahideen
moudre	 to grind
mouette	 gull, seagull
moufette	 skunk
mouffette	 skunk
moufle	 mitten
moufle	 polyspast
mouillage	 wetting (act of making something wet)
mouillage	 watering down (act of adding water to something)
mouillette	 soldier (piece of bread to dip into a boiled egg)
mouillure	 wetting
mouillure	 wetness, wet patch
